SHOP1 31
			
name	price	life(days)	product_date
milk	5.5	7	2018/4/25
milk	5.5	7	2018/4/26
milk	5.5	7	2018/4/27
milk	5.5	7	2018/4/28
milk	5.5	7	2018/4/25
milk	5.5	7	2018/4/25
yogurt	5.9	10	2018/4/25
yogurt	5.9	10	2018/4/26
yogurt	5.9	10	2018/4/23
yogurt	5.9	10	2018/4/25
bread	4.5	3	2018/4/30
bread	4.5	3	2018/4/30
sausage	3	1	2018/4/30
sausage	3	1	2018/4/30
sausage	3	1	2018/4/30
sausage	3	1	2018/4/30
sausage	3	1	2018/4/30
oden	6	1	2018/4/30
oden	6	1	2018/4/30
oden	6	1	2018/4/30
oden	6	1	2018/4/30
oden	6	1	2018/4/30
bun	2	1	2018/4/30
bun	2	1	2018/4/30
bun	2	1	2018/4/30
bun	2	1	2018/4/30
bun	2	1	2018/4/30
fruit	4.2	1	2018/4/30
fruit	4.2	2	2018/4/30
fruit	4.2	2	2018/4/30
fruit	4.2	3	2018/4/30
